Country Name;Country Code;Indicator Name;Indicator Code;gdp2001;gini2001;nat2001
Netherlands;NLD;GDP per capita (current US$);NY.GDP.PCAP.CD;26873.27593;;12.7
Norway;NOR;GDP per capita (current US$);NY.GDP.PCAP.CD;38542.7151;;13.3
Nepal;NPL;GDP per capita (current US$);NY.GDP.PCAP.CD;246.7255581;;32.64
Nauru;NRU;GDP per capita (current US$);NY.GDP.PCAP.CD;;;
New Zealand;NZL;GDP per capita (current US$);NY.GDP.PCAP.CD;13882.85683;;14.87
OECD members;OED;GDP per capita (current US$);NY.GDP.PCAP.CD;22551.62632;;13.75574915
Oman;OMN;GDP per capita (current US$);NY.GDP.PCAP.CD;8475.968623;;25.063
Other small states;OSS;GDP per capita (current US$);NY.GDP.PCAP.CD;4274.516801;;28.35359333
Pakistan;PAK;GDP per capita (current US$);NY.GDP.PCAP.CD;544.4942514;30.4;35.424
Panama;PAN;GDP per capita (current US$);NY.GDP.PCAP.CD;4046.429148;56.7;23.758
Peru;PER;GDP per capita (current US$);NY.GDP.PCAP.CD;1941.475342;51.3;23.839
Philippines;PHL;GDP per capita (current US$);NY.GDP.PCAP.CD;990.5640487;;29.887
Palau;PLW;GDP per capita (current US$);NY.GDP.PCAP.CD;8092.207323;;13.2
Papua New Guinea;PNG;GDP per capita (current US$);NY.GDP.PCAP.CD;515.6847804;;34.25
Poland;POL;GDP per capita (current US$);NY.GDP.PCAP.CD;4991.244358;;9.9
Pre-demographic dividend;PRE;GDP per capita (current US$);NY.GDP.PCAP.CD;451.9851008;;43.69414074
Puerto Rico;PRI;GDP per capita (current US$);NY.GDP.PCAP.CD;18123.1987;;15.6
Korea; Dem. People's Rep.;PRK;GDP per capita (current US$);;;18.866
Portugal;PRT;GDP per capita (current US$);NY.GDP.PCAP.CD;11724.6115;;11.4
Paraguay;PRY;GDP per capita (current US$);NY.GDP.PCAP.CD;1565.054289;54.6;27.746
West Bank and Gaza;PSE;GDP per capita (current US$);NY.GDP.PCAP.CD;1335.553195;;41.4
Pacific island small states;PSS;GDP per capita (current US$);NY.GDP.PCAP.CD;1711.101284;;29.72357591
Post-demographic dividend;PST;GDP per capita (current US$);NY.GDP.PCAP.CD;25407.90957;;11.49817852
French Polynesia;PYF;GDP per capita (current US$);NY.GDP.PCAP.CD;;;20.687
Qatar;QAT;GDP per capita (current US$);NY.GDP.PCAP.CD;28517.22084;;19.599
Romania;ROU;GDP per capita (current US$);NY.GDP.PCAP.CD;1825.179805;;10.4
Russian Federation;RUS;GDP per capita (current US$);NY.GDP.PCAP.CD;2100.352512;36.9;8.3
Rwanda;RWA;GDP per capita (current US$);NY.GDP.PCAP.CD;238.7812778;;40.35
South Asia;SAS;GDP per capita (current US$);NY.GDP.PCAP.CD;455.8581249;;28.15252404
Saudi Arabia;SAU;GDP per capita (current US$);NY.GDP.PCAP.CD;8684.645762;;27.002
Sudan;SDN;GDP per capita (current US$);NY.GDP.PCAP.CD;383.0160766;;39.847
Senegal;SEN;GDP per capita (current US$);NY.GDP.PCAP.CD;651.6098743;41.2;39.519
Singapore;SGP;GDP per capita (current US$);NY.GDP.PCAP.CD;21700.02005;;12.8
Solomon Islands;SLB;GDP per capita (current US$);NY.GDP.PCAP.CD;965.7656751;;35.848
Sierra Leone;SLE;GDP per capita (current US$);NY.GDP.PCAP.CD;229.3756595;;44.383
El Salvador;SLV;GDP per capita (current US$);NY.GDP.PCAP.CD;2072.301591;51.4;25.843
San Marino;SMR;GDP per capita (current US$);NY.GDP.PCAP.CD;38730.80304;;
Somalia;SOM;GDP per capita (current US$);NY.GDP.PCAP.CD;;;49.501
Serbia;SRB;GDP per capita (current US$);NY.GDP.PCAP.CD;1727.281196;;9.6
Sub-Saharan Africa (excluding high income);SSA;GDP per capita (current US$);NY.GDP.PCAP.CD;559.3968319;;41.80743571
South Sudan;SSD;GDP per capita (current US$);NY.GDP.PCAP.CD;;;43.679
Sub-Saharan Africa;SSF;GDP per capita (current US$);NY.GDP.PCAP.CD;560.2475317;;41.80450694
Small states;SST;GDP per capita (current US$);NY.GDP.PCAP.CD;4345.481964;;26.78871272
Sao Tome and Principe;STP;GDP per capita (current US$);NY.GDP.PCAP.CD;524.6698721;;39.534
Suriname;SUR;GDP per capita (current US$);NY.GDP.PCAP.CD;1750.576737;;24.073
Slovak Republic;SVK;GDP per capita (current US$);NY.GDP.PCAP.CD;5717.21709;;10.4
Slovenia;SVN;GDP per capita (current US$);NY.GDP.PCAP.CD;10479.75963;;8.8
Sweden;SWE;GDP per capita (current US$);NY.GDP.PCAP.CD;27247.85773;;10
Eswatini;SWZ;GDP per capita (current US$);NY.GDP.PCAP.CD;1521.769121;;32.669
Sint Maarten (Dutch part);SXM;GDP per capita (current US$);NY.GDP.PCAP.CD;;;
Seychelles;SYC;GDP per capita (current US$);NY.GDP.PCAP.CD;7663.13708;;18.2
Syrian Arab Republic;SYR;GDP per capita (current US$);NY.GDP.PCAP.CD;1258.447772;;31.693
Turks and Caicos Islands;TCA;GDP per capita (current US$);NY.GDP.PCAP.CD;16625.48892;;
Chad;TCD;GDP per capita (current US$);NY.GDP.PCAP.CD;197.1460821;;51.112
East Asia & Pacific (IDA & IBRD countries);TEA;GDP per capita (current US$);NY.GDP.PCAP.CD;1017.955942;;16.91753107
Europe & Central Asia (IDA & IBRD countries);TEC;GDP per capita (current US$);NY.GDP.PCAP.CD;2096.229447;;12.57923545
Togo;TGO;GDP per capita (current US$);NY.GDP.PCAP.CD;292.8231035;;39.791
Thailand;THA;GDP per capita (current US$);NY.GDP.PCAP.CD;1893.264239;;14.965
Tajikistan;TJK;GDP per capita (current US$);NY.GDP.PCAP.CD;171.0480646;;31.326
Turkmenistan;TKM;GDP per capita (current US$);NY.GDP.PCAP.CD;774.482152;;24.137
Latin America & the Caribbean (IDA & IBRD countries);TLA;GDP per capita (current US$);NY.GDP.PCAP.CD;4136.456542;;22.9884133
Timor-Leste;TLS;GDP per capita (current US$);NY.GDP.PCAP.CD;529.7937005;35.9;39.803
Middle East & North Africa (IDA & IBRD countries);TMN;GDP per capita (current US$);NY.GDP.PCAP.CD;1670.262428;;24.98499407
Tonga;TON;GDP per capita (current US$);NY.GDP.PCAP.CD;1839.086867;;28.299
South Asia (IDA & IBRD);TSA;GDP per capita (current US$);NY.GDP.PCAP.CD;455.8581249;;28.15252404
Sub-Saharan Africa (IDA & IBRD countries);TSS;GDP per capita (current US$);NY.GDP.PCAP.CD;560.2475317;;41.80450694
Trinidad and Tobago;TTO;GDP per capita (current US$);NY.GDP.PCAP.CD;6939.828471;;14.793
Tunisia;TUN;GDP per capita (current US$);NY.GDP.PCAP.CD;2253.034852;;17.759
Turkey;TUR;GDP per capita (current US$);NY.GDP.PCAP.CD;3142.920998;;22.105
Tuvalu;TUV;GDP per capita (current US$);NY.GDP.PCAP.CD;1392.334348;;
Tanzania;TZA;GDP per capita (current US$);NY.GDP.PCAP.CD;406.5387537;;41.663
Uganda;UGA;GDP per capita (current US$);NY.GDP.PCAP.CD;239.473127;;48.837
Ukraine;UKR;GDP per capita (current US$);NY.GDP.PCAP.CD;780.3211789;;7.8
Upper middle income;UMC;GDP per capita (current US$);NY.GDP.PCAP.CD;1964.003535;;16.48298741
Uruguay;URY;GDP per capita (current US$);NY.GDP.PCAP.CD;6284.45968;45;16.566
United States;USA;GDP per capita (current US$);NY.GDP.PCAP.CD;37133.24281;40.6;14.2
Uzbekistan;UZB;GDP per capita (current US$);NY.GDP.PCAP.CD;456.7062895;;22.4
St. Vincent and the Grenadines;VCT;GDP per capita (current US$);NY.GDP.PCAP.CD;3985.807613;;20.525
Venezuela; RB;VEN;GDP per capita (current US$);4842.036601;;24.541
British Virgin Islands;VGB;GDP per capita (current US$);NY.GDP.PCAP.CD;;;
Virgin Islands (U.S.);VIR;GDP per capita (current US$);NY.GDP.PCAP.CD;;;16.1
Vietnam;VNM;GDP per capita (current US$);NY.GDP.PCAP.CD;404.8078612;;18.075
Vanuatu;VUT;GDP per capita (current US$);NY.GDP.PCAP.CD;1363.185058;;33.558
World;WLD;GDP per capita (current US$);NY.GDP.PCAP.CD;5400.216995;;21.91207384
Samoa;WSM;GDP per capita (current US$);NY.GDP.PCAP.CD;1556.999425;;30.952
Kosovo;XKX;GDP per capita (current US$);NY.GDP.PCAP.CD;1490.361033;;22.8
Yemen; Rep.;YEM;GDP per capita (current US$);554.4486653;;41.623
South Africa;ZAF;GDP per capita (current US$);NY.GDP.PCAP.CD;2666.475027;;23.119
Zambia;ZMB;GDP per capita (current US$);NY.GDP.PCAP.CD;382.9410352;;45.328
Zimbabwe;ZWE;GDP per capita (current US$);NY.GDP.PCAP.CD;568.3862905;;31.717
